,gripper,time
0,False,1727269614252441164
1,False,1727269614262474754
2,False,1727269614272498699
3,False,1727269614282529225
4,False,1727269614292542927
5,False,1727269614303020883
6,False,1727269614313269682
7,False,1727269614323444595
8,False,1727269614333673582
9,False,1727269614343855044
10,False,1727269614354070047
11,False,1727269614364243372
12,False,1727269614374390310
13,False,1727269614384535908
14,False,1727269614394767354
15,False,1727269614405071813
16,False,1727269614415238292
17,False,1727269614425452893
18,False,1727269614435714535
19,False,1727269614445866856
20,False,1727269614456252696
21,False,1727269614466415405
22,False,1727269614476527505
23,False,1727269614486744729
24,False,1727269614496921129
25,False,1727269614507229165
26,False,1727269614517413324
27,False,1727269614527529312
28,False,1727269614537680613
29,False,1727269614547840669
30,False,1727269614558121378
31,False,1727269614568338616
32,False,1727269614578482348
33,False,1727269614588736393
34,False,1727269614599077485
35,False,1727269614609248619
36,False,1727269614619416231
37,False,1727269614629677419
38,False,1727269614639819168
39,False,1727269614650229696
40,False,1727269614660353268
41,False,1727269614670426000
42,False,1727269614680491874
43,False,1727269614690610633
44,False,1727269614700908949
45,False,1727269614711255997
46,False,1727269614721327650
47,False,1727269614731415560
48,False,1727269614741480095
49,False,1727269614751548943
50,False,1727269614761637372
51,False,1727269614771726036
52,False,1727269614781829325
53,False,1727269614792109127
54,False,1727269614802238915
55,False,1727269614812324025
56,False,1727269614822417470
57,False,1727269614832500046
58,False,1727269614842625166
59,False,1727269614852824251
60,False,1727269614863040431
61,False,1727269614873117324
62,False,1727269614883318718
63,False,1727269614893468116
64,False,1727269614903566148
65,False,1727269614913759365
66,False,1727269614924018482
67,False,1727269614934337315
68,False,1727269614944516126
69,False,1727269614954581181
70,False,1727269614964930699
71,False,1727269614975243068
72,False,1727269614985393271
73,False,1727269614995491709
74,False,1727269615005561483
75,False,1727269615015660526
76,False,1727269615026045198
77,False,1727269615036281253
78,False,1727269615046360117
79,False,1727269615056597163
80,False,1727269615066821382
81,False,1727269615076913750
82,False,1727269615087075343
83,False,1727269615097209830
84,False,1727269615107594411
85,False,1727269615118094800
86,False,1727269615128520043
87,False,1727269615139133706
88,False,1727269615149692809
89,False,1727269615160179724
90,False,1727269615170639477
91,False,1727269615181236389
92,False,1727269615191788259
93,False,1727269615202280156
94,False,1727269615212828454
95,False,1727269615223445671
96,False,1727269615234099424
97,False,1727269615244719048
98,False,1727269615255204530
99,False,1727269615265743363
100,False,1727269615276391691
101,False,1727269615287079986
102,False,1727269615297527270
103,False,1727269615308109920
104,False,1727269615318620413
105,False,1727269615329228380
106,False,1727269615339685482
107,False,1727269615350384982
108,False,1727269615360996198
109,False,1727269615371556691
110,False,1727269615382253359
111,False,1727269615392749337
112,False,1727269615403221506
113,False,1727269615413651065
114,False,1727269615424123013
115,False,1727269615434555963
116,False,1727269615445019297
117,False,1727269615455453001
118,False,1727269615466003603
119,False,1727269615476233769
120,False,1727269615486406612
121,False,1727269615496815860
122,False,1727269615507287227
123,False,1727269615517738864
124,False,1727269615528215132
125,False,1727269615538681689
126,False,1727269615549200645
127,False,1727269615559618021
128,False,1727269615570205893
129,False,1727269615580647995
130,False,1727269615591257625
131,False,1727269615601839643
132,False,1727269615612366184
133,False,1727269615622834704
134,False,1727269615633288949
135,False,1727269615643767528
136,False,1727269615654286182
137,False,1727269615664706353
138,False,1727269615675379374
139,False,1727269615685814243
140,False,1727269615696281048
141,False,1727269615706713686
142,False,1727269615717155874
143,False,1727269615727569619
144,False,1727269615738105022
145,False,1727269615748529792
146,False,1727269615759026853
147,False,1727269615769471067
148,False,1727269615779953010
149,False,1727269615790415328
150,False,1727269615801017505
151,False,1727269615811463705
152,False,1727269615822008064
153,False,1727269615832440098
154,False,1727269615842992095
155,False,1727269615853429547
156,False,1727269615863919723
157,False,1727269615874369925
158,False,1727269615884827286
159,False,1727269615895300866
160,False,1727269615905773373
161,False,1727269615916296468
162,False,1727269615926746978
163,False,1727269615937217917
164,False,1727269615947651461
165,False,1727269615958213019
166,False,1727269615968653378
167,False,1727269615978900740
168,False,1727269615989313031
169,False,1727269615999750402
170,False,1727269616010297164
171,False,1727269616020739001
172,False,1727269616031298699
173,False,1727269616041757088
174,False,1727269616052248531
175,False,1727269616062709112
176,False,1727269616073205493
177,False,1727269616083672937
178,False,1727269616094544467
179,False,1727269616105087834
180,False,1727269616115635032
181,False,1727269616126243930
182,False,1727269616136789186
183,False,1727269616147397018
184,False,1727269616158079234
185,False,1727269616168654548
186,False,1727269616179226364
187,False,1727269616189697939
188,False,1727269616200215979
189,False,1727269616210680980
190,False,1727269616221180519
191,False,1727269616231609332
192,False,1727269616242125689
193,False,1727269616252666063
194,False,1727269616263296122
195,False,1727269616273836710
196,False,1727269616284337141
197,False,1727269616294895976
198,False,1727269616305467622
199,False,1727269616315968268
200,False,1727269616326443198
201,False,1727269616337020742
202,False,1727269616347569404
203,False,1727269616358255526
204,False,1727269616368723021
205,False,1727269616379235576
206,False,1727269616389690859
207,False,1727269616400278816
208,False,1727269616410852431
209,False,1727269616421452131
210,False,1727269616431966766
211,False,1727269616442451733
212,False,1727269616453026437
213,False,1727269616463583191
214,False,1727269616474142255
215,False,1727269616484649806
216,False,1727269616495180420
217,False,1727269616505668046
218,False,1727269616516249673
219,False,1727269616526807015
220,False,1727269616537395285
221,False,1727269616547896903
222,False,1727269616558381192
223,False,1727269616568865038
224,False,1727269616579327012
225,False,1727269616589827163
226,False,1727269616600325634
227,False,1727269616610786656
228,False,1727269616621261767
229,False,1727269616631860378
230,False,1727269616642362498
231,False,1727269616652855014
232,False,1727269616663375212
233,False,1727269616673861301
234,False,1727269616684314785
235,False,1727269616694822685
